100,0
200,0
300,0
400,0.795
500,0
600,0.2
700,0.4228571428571429
800,0.03
900,0
1000,0.705
1100,0.26181818181818184
1200,0
1300,0.07461538461538461
1400,0.025
1500,0.04466666666666667
1600,0.081875
1700,0.09941176470588235
1800,0.04833333333333333
1900,0.1436842105263158
2000,0.014
2100,0.011428571428571429
2200,0.07090909090909091
2300,0.12565217391304348
2400,0.3641666666666667
2500,0.01
2600,0.07576923076923077
2700,0.011481481481481481
2800,0.16392857142857142
2900,0.20758620689655172
3000,0.006666666666666667
