10100,847
10200,644
10300,669
10400,729
10500,772
10600,735
10700,747
10800,751
10900,819
11000,880
11100,786
11200,935
11300,734
11400,757
11500,852
11600,805
11700,787
11800,881
11900,837
12000,841
12100,876
12200,919
12300,878
12400,792
12500,845
12600,833
12700,840
12800,825
12900,799
13000,821
13100,858
13200,824
13300,916
13400,887
13500,809
13600,904
13700,811
13800,935
13900,984
14000,892
14100,869
14200,994
14300,918
14400,870
14500,1034
14600,934
14700,1026
14800,1142
14900,923
15000,1023
15100,960
15200,1004
15300,1008
15400,911
15500,1078
15600,940
15700,1019
15800,1032
15900,989
16000,984
16100,1107
16200,1045
16300,997
16400,1127
16500,1101
16600,1079
16700,973
16800,1142
16900,1077
17000,1172
17100,1031
17200,1145
17300,1250
17400,1093
17500,1106
17600,1190
17700,1067
17800,1299
17900,1156
18000,1186
18100,1211
18200,1271
18300,1200
18400,1291
18500,1280
18600,1196
18700,1279
18800,1293
18900,1317
19000,1327
19100,1260
19200,1409
19300,1298
19400,1563
19500,1467
19600,1421
19700,1542
19800,1367
19900,1350
20000,1515
20100,1333
20200,1430
20300,1514
20400,1375
20500,1526
20600,1549
20700,1435
20800,1419
20900,1587
21000,1417
21100,1468
21200,1454
21300,1402
21400,1531
21500,1405
21600,1542
21700,1526
21800,1473
21900,1457
22000,1553
22100,1556
22200,1416
22300,1597
22400,1607
22500,1559
22600,1581
22700,1597
22800,1438
22900,1551
23000,1558
23100,1503
23200,1488
23300,1843
23400,1608
23500,1593
23600,1548
23700,1761
23800,1640
23900,1777
24000,1667
24100,1644
24200,1790
24300,1703
24400,1587
24500,1769
24600,1692
24700,1657
24800,1573
24900,1712
25000,1703
25100,1688
25200,1778
25300,1713
25400,1696
25500,1783
25600,2125
25700,1712
25800,2257
25900,1806
26000,1763
26100,1861
26200,1836
26300,1972
26400,2122
26500,2197
26600,1765
26700,1827
26800,1780
26900,1981
27000,1765
27100,2045
27200,1892
27300,1952
27400,1918
27500,2018
27600,1975
27700,1792
27800,1899
27900,1961
28000,2027
28100,2068
